game_id,game_date,DayOfWeek,location,game_duration,final_score_red,final_score_blue,winner,player_id,player_canonical_name,team_color,player_role,player_goals,player_own_goals,player_assists,player_saves,referee,attendance_count,season,recorded_by,rating_raw,player_comment
G015295,2023-02-06,Monday,YNOV TOULOUSE,747,0,4,BLUE,P0382,Julie Moreau,RED,DEFENSE,0,0,4,3,PAUL KIM,8,2023/2024,camera,2,ref biased
G009714,2023-03-06,Monday,GYM HALL,2304,3,4,BLUE,P0563,Isabella Durand,RED,DEFENSE,1,0,2,2,LEO NAKAMURA,5,2024/2025,GoPro,,rage quit
G003438,2024-10-13,Sunday,YNOV TOULOUSE,600,10,3,RED,P0111,Mateo Silva,RED,DEFENSE,8,0,5,0,NO,4,2025,phone,,
G012107,2025-03-25,Tuesday,SALLE POLYVALENTE,805,6,8,BLUE,P0456,Ethan Rousseau,BLUE,DEFENSE,4,0,2,8,NONE,4,2024/2025,admin,,beer spilled
G010274,2024-04-20,Saturday,YNOV TOULOUSE,1009,4,0,RED,P0645,Morgan Faure,RED,ATTACK,1,0,0,2,LENA MARTIN,4,2025,auto_recorder,,rage quit
G016433,2025-01-09,Thursday,LAB 204,2902,6,6,DRAW,P0199,Sofia Petit,BLUE,DEFENSE,2,0,2,8,YOUSSEF KOVACS,3,2023/2024,GoPro,,spectacular assist
G011545,2024-02-29,Thursday,STUDENT HOUSE,1140,6,2,RED,P0581,Alex Lopez,RED,DEFENSE,2,0,0,0,PAUL NAKAMURA,3,2024/2025,phone,,ref biased
G019336,2023-11-03,Friday,YNOV TOULOUSE,1045,9,10,BLUE,P0501,Diego Garnier,BLUE,DEFENSE,8,0,1,7,NONE,2,2024/2025,Discord Bot,,rage quit
G024010,2023-02-16,Thursday,BAR LE FOOS,326,6,9,BLUE,P0093,Eric Andre,RED,DEFENSE,2,0,0,6,NONE,8,2024/2025,camera,2,table slippery
G015816,2025-10-09,Thursday,LAB 204,3200,3,6,BLUE,P0008,Chris Robert,BLUE,DEFENSE,0,0,0,10,NONE,5,2025,GoPro,,
G019409,2023-12-05,Tuesday,YNOV TOULOUSE,1080,1,1,DRAW,P0580,Youssef Bernard,BLUE,DEFENSE,0,0,0,5,JULIE ROUSSEAU,6,2024/2025,GoPro,,team spirit high
G015462,2025-11-14,Friday,BAR LE FOOS,706,10,10,DRAW,P0004,Morgan Garcia,RED,ATTACK,5,0,3,4,PLAYER1,2,2025,referee,,team spirit high
G006803,2024-12-06,Friday,SALLE POLYVALENTE,950,2,10,BLUE,P0373,Olivia Garcia,RED,DEFENSE,3,0,1,6,NONE,4,2025,player phone,,close match
G008703,2024-09-18,Wednesday,GYM HALL,1806,9,5,RED,P0518,Liam Laurent,RED,DEFENSE,5,0,4,6,NONE,8,2023/2024,camera,,beer spilled
G011075,2024-12-29,Sunday,YNOV TOULOUSE,1155,8,10,BLUE,P0465,Mateo Leroy,BLUE,DEFENSE,2,0,5,1,NONE,,2024/2025,phone,,beer spilled
G015201,2023-11-24,Friday,BAR LE FOOS,547,7,1,RED,P0001,Casey Philippe,BLUE,ATTACK,1,0,2,2,NONE,7,2024/2025,Discord Bot,,amazing comeback!
G024640,2025-04-15,Tuesday,CAMPUS - CAFETERIA,720,6,6,DRAW,P0470,Mohamed Moreau,RED,DEFENSE,2,0,0,1,MATEO FAURE,8,2024/2025,player phone,,beer spilled
G008677,2025-05-20,Tuesday,STUDENT HOUSE,2314,5,8,BLUE,P0205,Morgan Nakamura,RED,DEFENSE,3,0,3,2,LENA KIM,,2025,referee,4,beer spilled
